Department/Agency,Medium,Publication,catagory,status,year,Publication Web Address
Education,Online,"FIRST NATIONS, MÉTIS AND INUIT EDUCATION PARTNERSHIP COUNCIL Working Group Report on the Year One Action Plan March 2010 – August 2011",education_tech,200,2012,"""http://education.alberta.ca/media/6620506/year%20one%20action%20plan%20report.pdf"""
Education,Online,FUNDING MANUAL FOR SCHOOL AUTHORITIES 2012/2013 SCHOOL YEAR,education_tech,404,2012,"""http://education.alberta.ca/media/6661328/2012-2013%20funding%20manual.pdf"""
Education,Print,"German Language and Culture 10-3Y, 20-3Y, 30-3Y Guide to Implementation (2011)",education_tech,200,2012,"""http://education.alberta.ca/media/6537834/gerlc102030_3ygi.pdf"""
Education,Print,Handbook for AISI Cycle 5 Projects 2012 – 2015 ,education_tech,200,2012,"""http://education.alberta.ca/media/6657808/handbook_for_aisi_cycle_5_projects.pdf"""
Education,Online,L’engagement de la communauté scolaire – Rubrique et échelle PARSA Cycle 5,education_tech,200,2012,"""http://education.alberta.ca/media/6678516/school_community_engagement_rubric_french_2012.pdf"""
Education,Online,La diversité en immersion française - Guide de consultation rapide sur l'inclusion à l'intention des enseignants,education_tech,200,2012,"""http://education.alberta.ca/media/6669522/diversiteimm.pdf"""
Education,Online,Manuel pour les projects du cinquieme cycle 2012 - 2015,education_tech,200,2012,"""http://education.alberta.ca/media/6665938/aisi_cycle_5_framework_french_version.pdf"""
Education,Online,Partnership Agreement between Kee Tas Kee Now Tribal Council (KTC) and Northland School Division No. 61 (NSD),education_tech,200,2012,"""http://education.alberta.ca/media/6678920/agreementmarch202012.pdf"""
Education,Online,Pleins Feux sur...l'Engagement des Parents (September 2011),education_tech,200,2012,"""http://education.alberta.ca/media/6632892/engagement%20des%20parents.pdf"""
Education,Online,Released 2010 Achievement Test- Social Studies Grade 9 Sources and Questions,education_tech,200,2012,"""http://education.alberta.ca/media/6622568/05%20ss9%202010%20released%20items%20signoff.pdf"""
Education,Online,Released Items 2010 Achievement Test - Grade 9 Knowledge & Employability - English Language Arts Part A,education_tech,200,2012,"""http://education.alberta.ca/media/6648190/02%20ke%20ela9_2010%20part%20a.pdf"""
Education,Online,Released Items 2010 Achievement Test - Grade 9 Knowledge & Employability - English Language Arts Part B,education_tech,200,2012,"""http://education.alberta.ca/media/6398518/04%20ke_ela%20released%202010.pdf"""
Education,Online,"Released Items 2011 Achievement Test - Grade 9 Knowledge & Employability - English Language Arts Part A (2012)
",education_tech,200,2012,"""http://education.alberta.ca/media/6648186/02%20ke%20ela9%202011%20part%20a.pdf"""
Education,Online,Released Items 2011 Achievement Test - Grade 9 Knowledge & Employability - English Language Arts Part A Writing,education_tech,200,2012,"""http://education.alberta.ca/media/6648186/02%20ke%20ela9%202011%20part%20a.pdf"""
Education,Online,School Community Engagement Rubric: Moving From Vision to Action AISI Cycle 5,education_tech,200,2012,"""http://education.alberta.ca/media/6674139/school_community_engagement_rubric_2012.pdf"""
Education,Online,"Speak Out – the Alberta Student Engagement Initiative Summary of Student Voices Online Discussion Forums May 1, 2010 to March 31, 2011",education_tech,200,2012,"""http://www.speakout.alberta.ca/LinkClick.aspx?fileticket=wAUxw4hS%2BGU%3D&tabid=108"""
Education,Online,Spotlight on Professional Development: What we've learned from AISI (January 2012),education_tech,404,2012,"""http://education.alberta.ca/media/6647962/spotlight_on_professional_development_2012.pdf"""
Education,Online,"The School Research and Improvement Scoop January 2012 (V. 8, Issue 1)",education_tech,200,2012,"""http://education.alberta.ca/media/6648257/scoop_january_2012.pdf"""
Education,Online,What School Administrators Need to Know about English Language Learners and ESL Programming,education_tech,200,2012,"""http://education.alberta.ca/media/6550092/eslstudents.pdf"""
Education,Online,"What We Heard Calm Redesign 3rd Annual Speak Out Conference April 15 - 17, 2011",education_tech,200,2012,"""http://www.speakout.alberta.ca/LinkClick.aspx?fileticket=omzbrhEgadA%3d&tabid=64"""
Education,Online,"What We Heard Competencies: Getting Ready For the Real World Report 3rd Annual Speak Out Conference April 15 - 17, 2011",education_tech,200,2012,"""http://www.speakout.alberta.ca/LinkClick.aspx?fileticket=FNwovbmejsM%3d&tabid=64"""
Education,Online,"What We Heard Designing School Facilities Report 3rd Annual Speak Out Conference April 15 - 17, 2011",education_tech,200,2012,"""http://www.speakout.alberta.ca/LinkClick.aspx?fileticket=S859WT3HPOE%3d&tabid=64"""
Education,Online,"What We Heard Diploma Exam Mythbuster Report 3rd Annual Speak Out Conference April 15 - 17, 2011",education_tech,200,2012,"""http://www.speakout.alberta.ca/LinkClick.aspx?fileticket=iVnS5pYDPiw%3d&tabid=64"""
Education,Online,"What We Heard Healthy Schools Healthy Schools: Engaging Students in Action Report 3rd Annual Speak Out Conference April 15 - 17, 2011",education_tech,200,2012,"""http://www.speakout.alberta.ca/LinkClick.aspx?fileticket=dydlcFRJ6pA%3d&tabid=64"""
Education,Online,"What We Heard High School Flexibility Report 3rd Annual Speak Out Conference April 15 - 17, 2011",education_tech,200,2012,"""http://www.speakout.alberta.ca/LinkClick.aspx?fileticket=D%2fgts7jYFSI%3d&tabid=64"""
Education,Online,"What We Heard High School Funding Report 3rd Annual Speak Out Conference April 15 - 17, 2011",education_tech,200,2012,"""http://www.speakout.alberta.ca/LinkClick.aspx?fileticket=MxrMmk0IEUA%3d&tabid=64"""
Education,Online,"What We Heard High School Mentoring Report 3rd Annual Speak Out Conference April 15 - 17, 2011",education_tech,200,2012,"""http://www.speakout.alberta.ca/LinkClick.aspx?fileticket=v5yDWhEn6q4%3d&tabid=64"""
Education,Online,"What We Heard Locally Developed Courses Report 3rd Annual Speak Out Conference April 15 - 17, 2011",education_tech,200,2012,"""http://www.speakout.alberta.ca/LinkClick.aspx?fileticket=R0uMYF5o3gM%3d&tabid=64"""
Education,Online,"What We Heard So You Want to Be a Teacher Report 3rd Annual Speak Out Conference April 15 - 17, 2011",education_tech,200,2012,"""http://www.speakout.alberta.ca/LinkClick.aspx?fileticket=TGuCov6eZkY%3d&tabid=64"""
Education,Online,"What We Heard Teaching Quality Report 3rd Annual Speak Out Conference April 15 - 17, 2011",education_tech,200,2012,"""http://www.speakout.alberta.ca/LinkClick.aspx?fileticket=TUXPt1KtS5k%3d&tabid=64"""
Education,Online,"What We Heard Technology for Todays Student Report 3rd Annual Speak Out Conference April 15 - 17, 2011",education_tech,200,2012,"""http://www.speakout.alberta.ca/LinkClick.aspx?fileticket=qUP39M5f3%2fQ%3d&tabid=64"""
Energy,Online,Manure odour management and bioenergy feasibility analysis,energy_transportation,200,2012,"""http://www.energy.alberta.ca/BioEnergy/pdfs/Manure_Odour_Management.pdf"""
Energy,Online,Netback impact analysis of West Coast export capacity (A),energy_transportation,200,2012,"""https://www.neb-one.gc.ca/ll-eng/livelink.exe/fetch/2000/90464/90552/384192/620327/624911/701670/776082/Government_of_Alberta_-_Wood_Mackenzie_-_West_Coast_Export_Capacity_Netback_Impact_Analysis_16Dec11_FINAL_-_A2K2K5.pdf?nodeid=776083&vernum=0&redirect=3&redirect=4"""
Energy Resource Conservation Board,Online and Print,Edmonton-Calgary Corridor groundwater atlas,energy_transportation,200,2012,"""www.ags.gov.ab.ca/groundwater/ecc-atlas.html"""
Energy Resource Conservation Board,Print,Northern Alberta kimberlite province : the first 20 years,energy_transportation,404,2012,
Environment,Online and Print,Muskeg River Watershed integrated water quality monitoring program annual report,environment,200,2012,"""http://environment.gov.ab.ca/info/library/8244.pdf"""
Environment,Online,Quantification protocol for direct reductions in greenhouse gas emissions arising from fuel switching fuel in mobile equipment,environment,200,2012,"""http://carbonoffsetsolutions.climatechangecentral.com/files/l_Switching_Protocol_Stakeholder_review_Post_4.pdf"""
Environment,Online,Quantification protocol for distributed renewable energy generation,environment,200,2012,"""http://carbonoffsetsolutions.climatechangecentral.com/files/Quantification_Protocol__Stakeholder_Posting.pdf"""
Environment and Water,Online and Print,Best management practices for conservation of reclamation materials in the mineable oil sands region of Alberta,environment,200,2012,"""http://environment.gov.ab.ca/info/library/8431.pdf"""
Environment and Water,Online and Print,Best management practices for conservation of reclamation materials in the mineable oil sands region of Alberta (2011) : Facts at your fingertips,environment,200,2012,"""http://environment.gov.ab.ca/info/library/8432.pdf"""
Environment and Water,Online and Print,Directive for monitoring the impact of sulphur dust on soils,environment,200,2012,"""http://environment.gov.ab.ca/info/library/8433.pdf"""
Environment and Water,Online and Print,Directive for monitoring the impact of sulphur dust on soils: frequently asked questions,environment,200,2012,"""http://environment.gov.ab.ca/info/library/8434.pdf"""
Environment and Water,Print,Enforcement of the Environmental Protection and Enhancement Act and Water Act 1 Oct 2011-31 Dec 2011,environment,404,2012,
Executive Council,Online,"Executive Council Business Plan 20122015 (Released February 9, 2012)",government,200,2012,"""http://www.finance.alberta.ca/publications/budget/budget2012/executive-council.pdf"""
Executive Council,Online,Your Alberta - February 2012,government,200,2012,"""http://enewsletter.alberta.ca/albertagovt/View.aspx?id=340522&q=419563172&qz=0fcecf"""
Executive Council,Online,Your Alberta - January 2012,government,200,2012,"""http://enewsletter.alberta.ca/albertagovt/View.aspx?id=323278&q=406206187&qz=e29eff"""
Executive Council,Online,Your Alberta - March 2012,government,200,2012,"""http://enewsletter.alberta.ca/albertagovt/View.aspx?id=347215&q=430538068&qz=7fff50"""
Finance,Online,"2011 Census of Canada Population and Dwelling Release (February 8, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/census/2011/2011-census-population-and-dwelling-counts.pdf"""
Finance,Online,"2011-12 Supplementary Supply Estimates (No. 2) General Revenue Fund February 9, 2012",economics_finnace,200,2012,"""http://www.treasuryboard.alberta.ca/docs/2011-12-Supplementary-Estimates-No-2.pdf"""
Finance,Print,"Alberta Heritage Savings Trust Fund Interim Financial Report for the months ended December 31, 2011",economics_finnace,200,2012,"""http://www.finance.alberta.ca/business/ahstf/quarterly-reports/2011-3rdq/report.pdf"""
Finance,Online,"Alberta Quarterly Population Report Fourth Quarter - 2011 (March 21, 2012)",economics_finnace,404,2012,"""http://www.finance.alberta.ca/aboutalberta/population_reports/2011-4thquarter.pdf"""
Finance,Online,Economic Trends (March 2012),economics_finnace,404,2012,"""http://www.finance.alberta.ca/aboutalberta/economic-trends/current.pdf"""
Finance,Online,"Fiscal Spotlight: Albertans' Contribution to Confederation (February 17, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/publications/fiscal/spotlights/2012-0223-alberta-net-contribution-to-confederation.pdf"""
Finance,Print,Government of Alberta Strategic Plan 2012,economics_finnace,200,2012,"""http://www.finance.alberta.ca/publications/budget/budget2012/goa-business-plan.pdf"""
Finance,Print,Ministry Business Plans 2012,economics_finnace,200,2012,"""http://www.finance.alberta.ca/publications/budget/budget2012/business-plans-complete.pdf"""
Finance,Online and Print,Third Quarter Fiscal Update: 2011–2012 (February 2012),economics_finnace,404,2012,"""http://www.finance.alberta.ca/publications/budget/quarterly/2011_3rdq/report.pdf"""
Finance,Online,TRA Tax Notes Vol. 25 No. 1 (March 2012),economics_finnace,200,2012,"""http://www.finance.alberta.ca/tax_notes/Publication/2012-0315.pdf"""
Finance,Online,"Weekly Economic Review (February 10, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/0210.pdf"""
Finance,Online,"Weekly Economic Review (February 17, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/0217.pdf"""
Finance,Online,"Weekly Economic Review (February 24, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/0224.pdf"""
Finance,Online,"Weekly Economic Review (February 3, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/0203.pdf"""
Finance,Online,"Weekly Economic Review (January 13, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/0113.pdf"""
Finance,Online,"Weekly Economic Review (January 20th, 2011)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/0120.pdf"""
Finance,Online,"Weekly Economic Review (January 27th, 2011)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/0127.pdf"""
Finance,Online,"Weekly Economic Review (January 6, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/0106.pdf"""
Finance,Online,"Weekly Economic Review (March 16, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/0316.pdf"""
Finance,Online,"Weekly Economic Review (March 2, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/0302.pdf"""
Finance,Online,"Weekly Economic Review (March 23, 2012)",economics_finnace,404,2012,"""Not available"""
Finance,Online,"Weekly Economic Review (March 9, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/0309.pdf"""
Finance,Online,"Weekly Economic Review (March 9, 2012)",economics_finnace,200,2012,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2012/0309.pdf"""
Finance and Enterprise,Online,Alberta Oil Sands Industry Quarterly Update -  Winter 2011/2012,economics_finnace,404,2012,"""http://www.albertacanada.com/documents/AOSID_QuarterlyUpdate_Winter2011.pdf"""
Finance and Enterprise,Online,Alberta Provincial Electoral Division 2008 Profiles,economics_finnace,404,2012,"""http://www.finance.alberta.ca/aboutalberta/ped_profiles/2008_profiles/2008%20PED%20Profiles%20Full%20Report.pdf"""
Government of Alberta,Online,Study in Alberta (Brochure),government,200,2012,"""http://www.studyinalberta.ca/media/62969/abed_inted_studyinab_brochure_web.pdf"""
Government of Alberta,Online,Study in Alberta: Catalogue of International Student Programs for Kindergarten to Grade 12,government,200,2012,"""http://www.studyinalberta.ca/media/63032/cs3_abed_inted_k-12catalogue_finalrev2%20web.pdf"""
Government of Alberta,Online,Study in Alberta: International Education Viewbook,government,200,2012,"""http://www.studyinalberta.ca/media/67609/aaeviewbook_11nomessgb.pdf"""
Health and Wellness ,Online,Alberta Reproductive Health: Pregnancies and Births Table Update 2011,health,200,2012,"""http://www.health.alberta.ca/documents/Reproductive-Health-2011.pdf"""
Health and Wellness ,Online,Community Treatment Orders Under the Mental Health Act - January 2012 (brochure),health,200,2012,"""http://www.health.alberta.ca/documents/Mental-Health-Act-CTO.pdf"""
Health and Wellness ,Online,"Emergency Medical Services: Provincial Medical Control Protocol, Adult and Pediatric - Updated January 26, 2012",health,404,2012,"""http://www.albertahealthservices.ca/hp/if-hp-ems-mcp.pdf"""
Health and Wellness ,Online,Formal Patient under The Mental Health Act - January 2012 (brochure) ,health,404,2012,"""http://www.health.alberta.ca/documents/Mental-Health-Act-Patients.pd"""
Health and Wellness ,Online,"Health and Wellness Business   Plan 2012-2015 (Released February 9, 2012)",health,200,2012,"""http://www.finance.alberta.ca/publications/budget/budget2012/health-wellness.pdf"""
Health and Wellness ,Online,HIV and AIDS in Alberta - 2010 Annual Report  (December 2011; released January 2012),health,200,2012,"""http://www.health.alberta.ca/documents/STI-HIV-AIDS-Report-2010.pdf"""
Health and Wellness ,Online,Hospital Services in Alberta - March 2012,health,404,2012,"""http://www.health.alberta.ca/documents/Hospital-Services-Alberta-2012-3.pdf"""
Health and Wellness ,Online,Methicillin Resistant Staphylococcus Aureus (MRSA) 2010 Alberta Health and Wellness Report  (October 2011),health,200,2012,"""http://www.health.alberta.ca/documents/MRSA-Alberta-Report-2006-2010.pdf """
Health and Wellness ,Online,Notifiable Sexually Transmitted Infections 2010 Annual Report  (December  2011; released January 2012),health,200,2012,"""http://www.health.alberta.ca/documents/STI-ND-Annual-Report-2010.pdf"""
Health and Wellness ,Online,Review of Deaths Occurring In Alberta During the 2009 Influenza Pandemic - January 2012,health,200,2012,"""http://www.health.alberta.ca/documents/2009-Pandemic-Deaths-Review.pdf"""
Health and Wellness ,Online,Review Panels: Community Treatment Order Under the Mental Health Act - January 2012 (brochure),health,200,2012,"""http://www.health.alberta.ca/documents/Mental-Health-Act-CTO-Panels.pdf"""
Health and Wellness ,Online,Review Panels: Formal Patients Under the Mental Health Act -January 2012 (brochure),health,200,2012,"""http://www.health.alberta.ca/documents/Mental-Health-Act-Panels.pdf"""
Health and Wellness ,Online,Seasonal Influenza in Alberta 2010/2011 Summary Report (October 2011),health,200,2012,"""http://www.health.alberta.ca/documents/Influenza-Summary-Report-2011.pdf"""
Human Services,Online,"2011 Wage and Salary Survey Overview (released March 1, 2012)",government,200,2012,"""http://employment.alberta.ca/documents/wage-and-salary-survey-overview.pdf"""
Human Services,Online and Print,"A Pan-Canadian Framework for the Assessment and Recognition of Foreign Qualifications: Progress Report, November 2009 to December 2011 (Forum of Labour Market Minister 2011)",government,200,2012,"""http://www.hrsdc.gc.ca/eng/workplaceskills/publications/fcr/2010/fcr_eng.pdf"""
Human Services,Online,Alberta Career and Industry Outlook: Economic and Other Trends Affecting the World of Work to 2015,government,200,2012,"""http://alis.alberta.ca/pdf/cshop/careerindustry.pdf"""
Human Services,Online,"Alberta Labour Force Statistics (Labour Force Statistics, Public Package) - February 2012",government,404,2012,"""http://www.employment.alberta.ca/documents/LFS-Feb12package.pdf"""
Human Services,Online,"Alberta Labour Force Statistics (Labour Force Statistics, Public Package) - January 2012",government,404,2012,"""http://www.employment.alberta.ca/documents/LFS-Jan12package.pdf"""
Human Services,Online,"Alberta Labour Force Statistics (Labour Force Statistics, Public Package) - March 2012",government,404,2012,"""http://www.employment.alberta.ca/documents/LFS-Mar12package.pdf"""
Human Services,Online,Alberta Labour Market Outlook 2011 (released March 2012),government,404,2012,"""http://employment.alberta.ca/documents/Labour-Market-Outlook.pdf"""
Human Services,Online,"Alberta's Supply Outlook Model 2011-2021: Education and Skills (January 30, 2012)",government,200,2012,"""http://employment.alberta.ca/documents/supply-outlook-model-education-and-skills.pdf"""
Human Services,Online,"Alberta's Supply Outlook Model 2011-2021: Visible Minorities, Aboriginals, and People with Disabilities (March 1, 2012)",government,404,2012,"""http://employment.alberta.ca/documents/LMI/LMI-LMF_occ_supply_equity.pdf"""
Human Services,Online,ALIS eNewsletter (Alberta Learning Information Service eNewsletter) - January  2012,government,200,2012,"""http://alis.alberta.ca/ep/cp/cr/enewsletter.html"""
Human Services,Online,"Building and Educating Tomorrow's Workforce Newsletter - Winter 2012 (Released April 12, 2012)",government,200,2012,"""http://www.industrymailout.com/Industry/View.aspx?id=331490&p=9a6e"""
Human Services,Online,Calgary & Area Labour Market Report - Fourth Quarter 2011 (released 20120216),government,404,2012,"""http://employment.alberta.ca/documents/2011calgary-fourth-quarter-labour-market-report.pdf """
Human Services,Online,"Canada-Alberta Labour Market Agreement for Persons With Disabilities 2010/2011 Annual Report (released Feb. 12, 2012)",government,404,2012,"""http://employment.alberta.ca/documents/canada-alberta-lma-pwd-annual-report-201011.pdf"""
Human Services,Print,Career and Workplace Resources Catalogue 2012  ,government,200,2012,"""http://alis.alberta.ca/ep/careershop/showproduct.html?DisplayCode=PRODUCT&EntityKey=5833 """
Human Services,Print,"Career Information Hotline. Poster (11"" by 16"")",government,200,2012,"""http://alis.alberta.ca/ep/careershop/showproduct.html?DisplayCode=PRODUCT&EntityKey=3504"""
